name,address,city,state,stars,phone,wifiScore,outdoorSeating,liveMusic,outlets,veganMilk,food,popularItem,IMG,website
Green Beans Coffee,Pittsbugh International Airport,Pittsburgh,PA,3,(484) 7926611,2.27,0,0,0,1,0,Nitro Cold Brew,http://dummyimage.com/155x166.bmp/cc0000/ffffff,http://mayoclinic.com/at/feugiat.jsp
Caf e dei Campi,1360 Boulevard Rosemont,Montreal,QC,5,(636) 2182072,3.33,1,1,0,1,0,Peppermint Mocha,http://dummyimage.com/103x169.bmp/ff4444/ffffff,http://mail.ru/nibh/fusce/lacus/purus.xml
Balzacs Coffee Roastery,"55 Mill Street, Building 60",Toronto,ON,4,(621) 6718899,2.88,0,0,0,0,0,Peppermint Mocha,http://dummyimage.com/105x177.jpg/dddddd/000000,https://google.co.jp/quam.aspx
Les Moulins La Fayette,250 Rue Sherbrooke O,Montreal,QC,4,(130) 1140255,4.37,1,1,0,1,1,Peppermint Mocha,http://dummyimage.com/141x241.png/dddddd/000000,https://nba.com/risus/auctor/sed/tristique.jpg
Dunkin Donuts,14055 Independence Blvd,Indian Trail,NC,3.5,(238) 3694413,4.27,1,1,1,1,0,Vanilla Cappuccino,http://dummyimage.com/202x202.jpg/5fa2dd/ffffff,http://fc2.com/integer/a/nibh/in.png
Second Cup,"7 Place Du Commerc, Suite 101",Verdun,QC,3,(463) 5175158,1.84,0,0,1,0,1,Nitro Cold Brew,http://dummyimage.com/109x249.jpg/ff4444/ffffff,http://issuu.com/pharetra.jsp
GCBC,Loop Rd,Phoenix,AZ,2.5,(557) 1135135,4.97,1,1,0,0,1,Vanilla Cappuccino,http://dummyimage.com/162x184.png/ff4444/ffffff,http://artisteer.com/ac/consequat/metus/sapien/ut.html
Starbucks,5067 Dixie Rd,Mississauga,ON,3,(245) 6956165,2.29,1,1,1,0,0,Chai Tea Latte,http://dummyimage.com/205x174.bmp/5fa2dd/ffffff,http://bbb.org/bibendum/imperdiet/nullam.aspx
Kibo House Sushi and Cafe,701 Saint Clair Avenue  W,Toronto,ON,3,(592) 8908214,4.52,1,0,0,1,0,Peppermint Mocha,http://dummyimage.com/139x159.png/cc0000/ffffff,https://studiopress.com/suspendisse/potenti/in.html
Tim Hortons,1340 Boulevard le Corbusier,Laval,QC,1.5,(341) 3886498,1.21,0,1,1,1,0,Nitro Cold Brew,http://dummyimage.com/214x143.jpg/dddddd/000000,https://oaic.gov.au/nisl/nunc.jpg
Absolute Cafe,2100 Queen Street E,Toronto,ON,4.5,(501) 9523470,2.79,0,1,1,1,0,Nitro Cold Brew,http://dummyimage.com/147x211.jpg/dddddd/000000,http://bigcartel.com/libero.html
Bread & Roses Bakery Cafe On Danforth,508 danforth Avenue,Toronto,ON,3,(125) 4840644,3.27,1,0,0,1,0,Vanilla Cappuccino,http://dummyimage.com/241x220.png/ff4444/ffffff,https://sogou.com/convallis/morbi/odio/odio/elementum.xml
Starbucks,1 E Main St,Madison,WI,3.5,(507) 1343141,1.07,0,0,1,0,1,Peppermint Mocha,http://dummyimage.com/199x196.bmp/cc0000/ffffff,http://ca.gov/in/faucibus/orci/luctus/et.aspx
Goldstruck Coffee,130 Cumberland Street,Toronto,ON,3.5,(767) 4505040,2.13,0,0,0,0,0,Chai Tea Latte,http://dummyimage.com/132x205.bmp/dddddd/000000,https://t.co/ut/dolor/morbi/vel.xml
Starbucks,2010 S Alma School Rd,Chandler,AZ,3,(612) 5025758,1.43,0,0,1,1,0,Chai Tea Latte,http://dummyimage.com/169x249.png/5fa2dd/ffffff,http://1und1.de/amet.aspx
Lowdown Coffee,40 George Street,Edinburgh,EDH,4.5,(737) 9014519,2.19,1,1,0,0,1,Nitro Cold Brew,http://dummyimage.com/250x107.png/cc0000/ffffff,http://dailymail.co.uk/volutpat/convallis/morbi/odio/odio.jpg
A Place For Us,"First Markham Place, 3255 Highway 7 East, Unit 27",Markham,ON,3.5,(778) 2166559,2.46,1,1,1,0,1,Chai Tea Latte,http://dummyimage.com/209x161.png/dddddd/000000,http://macromedia.com/non/velit/donec/diam.xml
Aspinwall Beans N Cream,16 Brilliant Ave,Aspinwall,PA,4.5,(693) 1641515,1.24,0,0,0,1,0,Nitro Cold Brew,http://dummyimage.com/128x129.png/dddddd/000000,http://yale.edu/libero/nam/dui/proin/leo/odio.jsp
La Papaya,3347 E Russell Rd,Las Vegas,NV,3.5,(693) 1868343,4.21,1,1,0,0,0,Peppermint Mocha,http://dummyimage.com/183x163.png/ff4444/ffffff,http://51.la/morbi/quis/tortor.json
Starbucks,190 Queen Street E,Brampton,ON,4,(957) 1830083,2.05,1,0,1,0,0,Nitro Cold Brew,http://dummyimage.com/182x203.jpg/dddddd/000000,https://addthis.com/ut.js
M Square Coffee Co,"123 Queen Street W, Unit C24",Toronto,ON,4,(610) 6372095,3.52,1,0,1,1,0,Peppermint Mocha,http://dummyimage.com/208x204.bmp/5fa2dd/ffffff,https://phpbb.com/mollis.js
Patisserie Florentin,5 NW Circus Place,Edinburgh,EDH,4,(793) 9719851,3.06,0,0,1,1,0,Peppermint Mocha,http://dummyimage.com/187x118.jpg/cc0000/ffffff,http://ebay.co.uk/sit/amet/consectetuer/adipiscing/elit/proin.jsp
Dunkin Donuts,1541 Washington Rd,Pittsburgh,PA,3,(248) 6302168,1.1,0,0,1,1,1,Vanilla Cappuccino,http://dummyimage.com/153x139.png/dddddd/000000,https://bloglines.com/leo/rhoncus/sed.jsp
Starbucks,111 NW 3rd St,Phoenix,AZ,2.5,(249) 8239447,3.58,0,0,1,0,1,Nitro Cold Brew,http://dummyimage.com/111x182.jpg/cc0000/ffffff,http://redcross.org/nulla/quisque/arcu/libero.html
Order in the Court,333 Las Vegas Blvd S,Las Vegas,NV,3,(224) 2695356,3.47,1,1,1,1,0,Vanilla Cappuccino,http://dummyimage.com/245x190.jpg/dddddd/000000,https://si.edu/eleifend/donec/ut/dolor.json
Littlefish,3080 Dundas Street  W,Toronto,ON,3.5,(857) 1016263,3.66,0,0,0,1,0,Nitro Cold Brew,http://dummyimage.com/198x200.bmp/dddddd/000000,http://stanford.edu/rhoncus/mauris/enim.js
Boulangerie et Cie,1001 Boulevard Décarie,Montreal,QC,3,(209) 7620273,1.7,0,0,0,1,0,Chai Tea Latte,http://dummyimage.com/244x155.png/cc0000/ffffff,https://huffingtonpost.com/sed/interdum/venenatis/turpis.aspx
Starbucks,"50 W Jefferson St, Ste 170",Phoenix,AZ,3.5,(622) 8596932,1.55,0,0,0,1,1,Peppermint Mocha,http://dummyimage.com/211x176.jpg/ff4444/ffffff,http://infoseek.co.jp/vestibulum/quam/sapien/varius/ut/blandit/non.jsp
The Cafe,198 Wynn Main Gate Dr,Las Vegas,NV,2.5,(536) 3340321,1.95,0,1,0,1,0,Chai Tea Latte,http://dummyimage.com/244x117.jpg/dddddd/000000,http://eventbrite.com/justo/pellentesque/viverra.jpg
Tim Hortons,152 Park Lawn Road,Toronto,ON,2,(123) 2568621,4.21,1,0,0,0,0,Peppermint Mocha,http://dummyimage.com/158x190.png/cc0000/ffffff,https://123-reg.co.uk/est/quam.json
Scorpion Cafe,1021 E Paradise Hills Dr,Henderson,NV,4.5,(773) 6262300,4.11,1,0,0,0,1,Chai Tea Latte,http://dummyimage.com/218x165.jpg/5fa2dd/ffffff,http://is.gd/aliquam/lacus.png
The Common,408 Bloor Street W,Toronto,ON,4,(447) 6626805,3.77,1,0,1,0,1,Peppermint Mocha,http://dummyimage.com/168x227.png/5fa2dd/ffffff,http://nbcnews.com/nec/molestie/sed/justo.json
Dunkin Donuts,36071 Chester Rd,Avon,OH,1.5,(173) 3605307,3.86,1,1,0,1,1,Chai Tea Latte,http://dummyimage.com/102x204.jpg/dddddd/000000,http://mozilla.org/velit.png
Heartwood Coffee Roasters,"46 Ravenna St, Ste D-2",Hudson,OH,5,(128) 6010601,2.93,0,1,0,0,1,Vanilla Cappuccino,http://dummyimage.com/185x149.jpg/cc0000/ffffff,https://indiatimes.com/sapien/ut/nunc/vestibulum.js
Dunkin Donuts,"5485 Simmons St, Ste 3",North Las Vegas,NV,2,(149) 4619623,4.41,0,1,0,0,0,Vanilla Cappuccino,http://dummyimage.com/207x222.jpg/dddddd/000000,https://bravesites.com/ut/tellus/nulla/ut.html
Arabica Coffee House,12626 Chillicothe Rd,Chesterland,OH,3.5,(270) 6455913,4.82,0,0,1,0,1,Chai Tea Latte,http://dummyimage.com/204x207.png/5fa2dd/ffffff,https://newsvine.com/eget/nunc/donec/quis/orci.js
Dunkin Donuts,360 Curry Hollow Rd,Pleasant Hills,PA,3.5,(125) 5076855,4.38,1,0,0,0,1,Peppermint Mocha,http://dummyimage.com/232x161.jpg/dddddd/000000,http://google.cn/odio/in/hac/habitasse/platea/dictumst/maecenas.png
Tea Market,"Cumberland Terrace, 2 Bloor St W, Lower Level",Toronto,ON,3.5,(231) 1304242,4.15,1,0,1,1,0,Vanilla Cappuccino,http://dummyimage.com/221x188.png/dddddd/000000,http://etsy.com/sapien/dignissim/vestibulum/vestibulum/ante/ipsum/primis.json
Second Cup Coffee,8505 Warden Avenue,Markham,ON,3.5,(387) 6854910,2.84,0,0,1,0,0,Chai Tea Latte,http://dummyimage.com/118x120.bmp/5fa2dd/ffffff,https://oaic.gov.au/nulla.html
Dunkin Donuts,4130 E Thomas Rd,Phoenix,AZ,3,(423) 6896387,1.66,0,1,1,0,0,Nitro Cold Brew,http://dummyimage.com/128x194.png/dddddd/000000,https://hhs.gov/ultrices/posuere/cubilia/curae/donec.json
Tim Hortons,860 York Mills Road,North York,ON,3,(488) 9182428,1.25,0,0,1,1,1,Nitro Cold Brew,http://dummyimage.com/207x154.png/ff4444/ffffff,http://statcounter.com/vivamus/vestibulum/sagittis/sapien/cum/sociis/natoque.aspx
Dunkin Donuts,1014 Wilson Bus Pkwy,Fort Mill,SC,5,(290) 4346132,4.57,1,1,1,1,1,Peppermint Mocha,http://dummyimage.com/202x136.jpg/cc0000/ffffff,http://wikispaces.com/adipiscing/lorem/vitae/mattis/nibh/ligula/nec.jsp
Dunkin Donuts,"1740 E Broadway, Ste 101",Tempe,AZ,3,(176) 5377482,2.36,1,1,0,1,1,Peppermint Mocha,http://dummyimage.com/166x247.jpg/5fa2dd/ffffff,https://newyorker.com/nibh/ligula.html
Dunkin Donuts,2739 Medina Rd,Medina,OH,1,(199) 4951802,4.28,1,1,0,1,0,Peppermint Mocha,http://dummyimage.com/172x126.jpg/5fa2dd/ffffff,https://marketwatch.com/nunc/commodo/placerat/praesent/blandit.js
Dunkin Donuts,1615 N 99th Ave,Phoenix,AZ,2.5,(184) 2405783,1.22,0,0,0,0,1,Peppermint Mocha,http://dummyimage.com/230x249.bmp/dddddd/000000,http://paginegialle.it/sem/fusce/consequat/nulla/nisl/nunc.jpg
Dunkin Donuts,"1342 W Warner Rd, Ste 101",Tempe,AZ,2.5,(137) 7439436,4.54,1,0,0,1,1,Nitro Cold Brew,http://dummyimage.com/115x131.jpg/cc0000/ffffff,https://cbsnews.com/quam/fringilla.json
Dunkin Donuts,"3114 Fincher Farm Rd, Ste 100",Matthews,NC,3,(553) 7573327,4.87,1,0,0,1,0,Peppermint Mocha,http://dummyimage.com/114x222.png/cc0000/ffffff,http://ihg.com/turpis/sed/ante/vivamus/tortor.html
Dunkin Donuts,6763 Albemarle Rd,Charlotte,NC,1.5,(858) 1458139,2.08,1,1,1,1,1,Peppermint Mocha,http://dummyimage.com/165x207.bmp/5fa2dd/ffffff,https://usnews.com/sed/tincidunt/eu/felis/fusce.js
Dunkin Donuts,8847 E Indian Bend Rd,Scottsdale,AZ,3.5,(935) 2406330,4.46,0,1,0,0,1,Nitro Cold Brew,http://dummyimage.com/236x139.bmp/cc0000/ffffff,http://taobao.com/libero/non/mattis/pulvinar.json
Zimt & Zucker,Weißenburgstr. 2 C,Stuttgart,BW,3.5,(176) 8304836,4.55,1,0,1,1,1,Peppermint Mocha,http://dummyimage.com/160x176.bmp/dddddd/000000,https://php.net/nascetur.json
Tim Hortons,2301 Brimley Road,Toronto,ON,4,(934) 9684445,3.04,0,1,1,0,0,Vanilla Cappuccino,http://dummyimage.com/178x109.jpg/ff4444/ffffff,https://rambler.ru/sit/amet/diam/in/magna.xml
Tim Hortons,2991 Erin Centre Boulevard,Mississauga,ON,1.5,(504) 2469906,2.02,1,1,1,0,0,Vanilla Cappuccino,http://dummyimage.com/221x231.png/ff4444/ffffff,https://blogtalkradio.com/augue.json
Blue Bar Cafe,10 Cambridge Street,Edinburgh,EDH,4,(623) 2521776,4.91,0,1,1,0,1,Peppermint Mocha,http://dummyimage.com/209x207.bmp/5fa2dd/ffffff,https://scribd.com/justo/etiam/pretium/iaculis/justo.jpg
Buck 15 Espresso,3027 Rue Notre-Dame O,Montreal,QC,4.5,(528) 9017695,3.86,1,0,0,0,0,Vanilla Cappuccino,http://dummyimage.com/243x151.jpg/5fa2dd/ffffff,http://123-reg.co.uk/ultrices/enim/lorem/ipsum/dolor/sit/amet.js
Jeet,4200 Penn Ave,Pittsburgh,PA,3.5,(561) 7282038,2.26,0,0,1,1,0,Nitro Cold Brew,http://dummyimage.com/160x147.png/ff4444/ffffff,http://whitehouse.gov/vel/lectus/in.xml
The Black Cup Coffee,"707 Fremont St, Ste 1050, Container Park Downtown",Las Vegas,NV,3,(545) 5988864,1.33,1,1,0,1,1,Chai Tea Latte,http://dummyimage.com/124x229.bmp/ff4444/ffffff,https://theguardian.com/consequat/varius.jsp
Dunkin Donuts,1302 N Prospect Ave,Champaign,IL,2.5,(838) 8041244,4.37,1,1,0,1,0,Chai Tea Latte,http://dummyimage.com/191x111.png/dddddd/000000,https://about.com/consequat/lectus/in/est.js
Cafe Lito,"7155 W Campo Bello Dr, Bldg A, Ste 2",Glendale,AZ,4.5,(947) 8634134,2.96,0,1,1,0,0,Peppermint Mocha,http://dummyimage.com/224x145.bmp/cc0000/ffffff,https://dagondesign.com/id/ornare/imperdiet/sapien/urna.jpg
Tim Hortons,438 University Avenue,Toronto,ON,4,(222) 3382984,2.78,1,1,1,0,0,Chai Tea Latte,http://dummyimage.com/137x197.png/ff4444/ffffff,https://time.com/tempus.xml
Sassy Teas,121 Lakeshore Road W,Port Credit,ON,2.5,(116) 7200947,4.26,0,0,0,1,0,Peppermint Mocha,http://dummyimage.com/184x137.png/5fa2dd/ffffff,https://washingtonpost.com/mauris/sit/amet/eros/suspendisse/accumsan/tortor.jsp
Dunkin Donuts,5790 Mayfield Rd,Cleveland,OH,3,(742) 8599201,1.81,1,0,1,0,0,Chai Tea Latte,http://dummyimage.com/211x145.jpg/cc0000/ffffff,https://yahoo.co.jp/vehicula/condimentum.html
LOr en Grain,751 Rue Rachel Est,Montreal,QC,4.5,(656) 1534600,2.52,0,1,1,1,1,Peppermint Mocha,http://dummyimage.com/107x103.bmp/dddddd/000000,https://moonfruit.com/molestie/hendrerit/at.json
Dunkin Donuts,"990 E Riggs Rd, Ste 1",Chandler,AZ,2.5,(679) 9602874,1.3,1,1,1,1,1,Chai Tea Latte,http://dummyimage.com/158x156.png/cc0000/ffffff,https://amazon.de/consequat/metus.html
Your Moms Donuts,"11025 Monroe Rd, Ste F",Matthews,NC,4.5,(649) 8360550,2.52,1,0,1,1,0,Nitro Cold Brew,http://dummyimage.com/101x132.png/5fa2dd/ffffff,https://microsoft.com/adipiscing.aspx
Dunkin Donuts,1158 S Crismon Rd,Mesa,AZ,2,(176) 6432866,1.66,0,0,1,1,0,Peppermint Mocha,http://dummyimage.com/173x101.png/dddddd/000000,https://opera.com/elit/ac/nulla/sed/vel/enim.xml
Second Cup,3801 Boulevard Saint-Laurent,Montreal,QC,3.5,(241) 7857202,1.36,0,0,1,1,0,Peppermint Mocha,http://dummyimage.com/185x214.bmp/ff4444/ffffff,http://apache.org/natoque/penatibus/et.jpg
Starbucks,"Hauptbahnhof, Arnulf-Klett-Platz 2",Stuttgart,BW,3.5,(925) 6154132,3.09,1,1,1,1,0,Vanilla Cappuccino,http://dummyimage.com/101x170.bmp/dddddd/000000,http://businesswire.com/ut/nunc/vestibulum/ante/ipsum/primis/in.aspx
Brew Lab West End,3A Queensferry Street Lane,Edinburgh,EDH,4,(264) 5315441,1.07,0,1,0,1,1,Chai Tea Latte,http://dummyimage.com/216x212.png/5fa2dd/ffffff,http://vkontakte.ru/felis/donec/semper/sapien.html
Caf Bistro Monk,6396 Boul. Monk,Montreal,QC,4,(589) 5092759,4.71,0,0,1,0,1,Vanilla Cappuccino,http://dummyimage.com/215x159.jpg/dddddd/000000,http://wikia.com/arcu/adipiscing/molestie/hendrerit/at/vulputate.jsp
Latitude Coffee,81 Rose Street,Edinburgh,MLN,3,(947) 7078578,4.11,1,0,1,1,1,Chai Tea Latte,http://dummyimage.com/165x231.png/5fa2dd/ffffff,http://nydailynews.com/mattis/egestas/metus/aenean/fermentum/donec.html
Krispy Kreme,"10038 Charlotte Hwy, Ste 9976",Fort Mill,SC,4,(612) 2884413,2.47,1,1,1,1,0,Vanilla Cappuccino,http://dummyimage.com/153x123.png/ff4444/ffffff,http://wiley.com/cubilia.jsp
Second Cup,1122 Sainte-Catherine Rue W,Montreal,QC,3.5,(682) 3176776,3.42,0,1,1,1,0,Peppermint Mocha,http://dummyimage.com/190x208.bmp/dddddd/000000,http://ca.gov/nec/sem/duis/aliquam/convallis/nunc.jpg
Dunkin Donuts,5143 W Olive Ave,Glendale,AZ,1.5,(137) 2101272,2.83,0,0,1,0,1,Chai Tea Latte,http://dummyimage.com/214x218.png/dddddd/000000,http://apache.org/pellentesque.json
Coffee Time Donuts,839 Queen Street W,Toronto,ON,3.5,(551) 1273902,2.71,1,1,0,1,0,Vanilla Cappuccino,http://dummyimage.com/212x238.jpg/cc0000/ffffff,https://archive.org/scelerisque/quam/turpis/adipiscing/lorem/vitae/mattis.png
Tim Horton,30 Eglinton Avenue W,Mississauga,ON,3,(994) 6888202,1.84,1,1,1,0,0,Peppermint Mocha,http://dummyimage.com/169x179.jpg/dddddd/000000,http://jugem.jp/sed/tincidunt/eu.js
Caffeine,154 Dundas Street,Edinburgh,EDH,4.5,(669) 5490479,2.25,1,0,0,0,0,Chai Tea Latte,http://dummyimage.com/205x236.bmp/dddddd/000000,https://elegantthemes.com/cursus/id/turpis/integer/aliquet/massa.jpg
Cairngorm Coffee,1 Melville Place,Edinburgh,EDH,4,(555) 9457193,2.39,1,0,1,1,1,Chai Tea Latte,http://dummyimage.com/201x116.bmp/ff4444/ffffff,http://drupal.org/molestie/nibh.js
Dunkin Donuts,6295 S Rainbow Blvd,Las Vegas,NV,2.5,(682) 1818801,1.15,0,1,1,1,0,Nitro Cold Brew,http://dummyimage.com/217x208.jpg/dddddd/000000,https://php.net/non/mi/integer.aspx
Dunkin Donuts,102 N Central Ave,Phoenix,AZ,3,(374) 2564008,2.18,1,0,0,1,0,Nitro Cold Brew,http://dummyimage.com/182x238.png/dddddd/000000,http://webmd.com/id/justo/sit/amet/sapien.aspx
Dunkin Donuts,2165 N Chester St,Gastonia,NC,2,(449) 6255908,4.74,1,0,0,1,0,Nitro Cold Brew,http://dummyimage.com/208x147.png/cc0000/ffffff,https://ning.com/morbi.json
Dunkin Donuts,4959 Richmond Rd,Warrensville Heights,OH,3,(678) 7107510,4.63,0,1,1,1,0,Chai Tea Latte,http://dummyimage.com/233x147.jpg/ff4444/ffffff,https://miibeian.gov.cn/risus/praesent/lectus/vestibulum.xml
Sumach Espresso,118 Sumach Street,Toronto,ON,4.5,(320) 7976362,4.05,1,0,0,0,1,Nitro Cold Brew,http://dummyimage.com/190x147.png/5fa2dd/ffffff,https://posterous.com/suspendisse.js
Pourquoi Pas Espresso Bar,1447 Rue Amherst,Montreal,QC,4.5,(445) 4027314,3.44,0,0,0,1,0,Peppermint Mocha,http://dummyimage.com/197x242.jpg/cc0000/ffffff,http://wufoo.com/sed/lacus.json
Cinderbox Cafe,55 Bridge Street,Chester,CHE,4,(239) 5923639,1.46,0,1,1,1,1,Chai Tea Latte,http://dummyimage.com/217x147.png/cc0000/ffffff,http://statcounter.com/ipsum/integer/a/nibh.xml
Green Grotto,3920 Grand Park Drive,Mississauga,ON,3,(655) 2956183,2.56,0,0,1,1,0,Peppermint Mocha,http://dummyimage.com/126x228.jpg/dddddd/000000,http://elpais.com/consequat/lectus/in.png
Starbucks,604 Danforth Ave,Toronto,ON,3,(326) 8359367,1.47,1,1,0,0,1,Vanilla Cappuccino,http://dummyimage.com/104x135.png/dddddd/000000,https://npr.org/odio.jsp
Starbucks,2000 E Edgerton Rd,Broadview Heights,OH,3,(810) 5728100,4.06,1,0,0,0,1,Vanilla Cappuccino,http://dummyimage.com/124x215.png/dddddd/000000,http://slashdot.org/aliquam/lacus.json
Zekes Coffee,6015 Penn Ave,Pittsburgh,PA,4.5,(801) 7567359,3.63,1,1,1,1,1,Vanilla Cappuccino,http://dummyimage.com/191x148.jpg/cc0000/ffffff,http://house.gov/viverra.aspx
Tim Hortons,1493 Finch Avenue W,North York,ON,3,(221) 5658254,1.06,0,1,1,1,0,Chai Tea Latte,http://dummyimage.com/103x165.jpg/cc0000/ffffff,http://economist.com/nunc/proin/at/turpis/a/pede/posuere.json
Weather & Coffee,"3607 East Bell Road, Ste., #1",Phoenix,AZ,4.5,(281) 5264847,4.73,1,1,0,1,1,Nitro Cold Brew,http://dummyimage.com/201x165.jpg/5fa2dd/ffffff,https://spotify.com/pede/venenatis/non.jpg
Dunkin Donuts,3481 S Durango Dr,Las Vegas,NV,2,(625) 9821865,4.91,0,1,1,1,1,Vanilla Cappuccino,http://dummyimage.com/166x131.jpg/dddddd/000000,https://nba.com/sociis/natoque/penatibus/et.jpg
Oscar Coffee & Espresso Bar,2377 Queen Street E,Toronto,ON,4,(256) 5340043,4.12,0,0,1,0,1,Vanilla Cappuccino,http://dummyimage.com/132x240.bmp/cc0000/ffffff,https://yahoo.co.jp/aenean/lectus/pellentesque/eget/nunc.html
DAVIDsTEA,6310 Silver Dart Drive,Mississauga,ON,4.5,(791) 9078221,2.16,1,1,0,1,0,Chai Tea Latte,http://dummyimage.com/221x190.png/5fa2dd/ffffff,http://statcounter.com/luctus/et/ultrices/posuere/cubilia/curae.png
Teazone,"16 Vogell Road, Unit B",Richmond Hill,ON,2,(684) 1874693,2.96,1,0,0,1,1,Nitro Cold Brew,http://dummyimage.com/115x140.bmp/dddddd/000000,https://bandcamp.com/amet/diam.aspx
Wallace Espresso,188 Wallace Avenue,Toronto,ON,5,(942) 6658003,3.07,0,0,1,1,0,Nitro Cold Brew,http://dummyimage.com/144x243.jpg/ff4444/ffffff,http://berkeley.edu/sed/interdum/venenatis/turpis.png
Dunkin Donuts,53 W Garfield Rd,Aurora,OH,3,(204) 5519598,2.21,1,1,0,0,1,Vanilla Cappuccino,http://dummyimage.com/239x148.bmp/ff4444/ffffff,https://shop-pro.jp/nulla/quisque/arcu.json
Krispy Kreme Doughnuts,6626 E Superstition Springs Blvd,Mesa,AZ,3.5,(329) 8355871,1.56,0,0,0,0,0,Chai Tea Latte,http://dummyimage.com/234x241.png/cc0000/ffffff,http://chronoengine.com/eget/vulputate.js
Caf e Bar Bliss,Waiblinger Str. 12,Stuttgart,BW,4,(738) 1391745,2.59,0,1,0,0,0,Peppermint Mocha,http://dummyimage.com/207x148.jpg/5fa2dd/ffffff,https://csmonitor.com/sit/amet/nunc/viverra/dapibus/nulla/suscipit.jpg
Balzacs Coffee Roastery,43 Hanna Avenue,Toronto,ON,3.5,(647) 2366145,1.25,1,0,0,0,1,Vanilla Cappuccino,http://dummyimage.com/109x106.jpg/cc0000/ffffff,http://tmall.com/quam/sollicitudin/vitae.png
Als Donuts,"1220 E Harmon Ave, Ste D",Las Vegas,NV,3.5,(918) 8971118,3.39,0,0,0,1,1,Chai Tea Latte,http://dummyimage.com/188x107.bmp/dddddd/000000,http://weather.com/at.jsp
Dunkin Donuts,1601A W Morehead St,Charlotte,NC,3,(796) 7317531,1.25,0,0,1,1,0,Peppermint Mocha,http://dummyimage.com/144x208.jpg/dddddd/000000,http://newsvine.com/ultrices/enim/lorem/ipsum/dolor/sit.js
Tim Hortons,150 Dupont Street,Toronto,ON,1.5,(345) 4683877,4.01,0,0,0,0,0,Vanilla Cappuccino,http://dummyimage.com/119x126.jpg/dddddd/000000,https://house.gov/lacus/at/velit/vivamus.json
Le Baobab,"4800, rue Wellington",Verdun,QC,4,(722) 6478441,2.75,1,0,1,0,1,Vanilla Cappuccino,http://dummyimage.com/162x166.bmp/cc0000/ffffff,http://t.co/ligula/suspendisse/ornare.jpg
Dunkin Donuts,"5861 W Craig Rd, Ste 101",Las Vegas,NV,2.5,(451) 9149131,4.17,1,0,1,0,0,Peppermint Mocha,http://dummyimage.com/144x207.bmp/ff4444/ffffff,http://opensource.org/accumsan/tortor/quis/turpis/sed.aspx
Caf e Martin,2016 Boulevard Saint-Laurent,Montreal,QC,4,(255) 6768803,3.57,0,0,0,0,1,Peppermint Mocha,http://dummyimage.com/115x186.png/5fa2dd/ffffff,https://skyrock.com/viverra/pede/ac/diam/cras/pellentesque.xml
Dunkin Donuts,E Ray Rd,Gilbert,AZ,2,(762) 3133111,1.42,1,0,0,0,0,Chai Tea Latte,http://dummyimage.com/176x165.jpg/cc0000/ffffff,https://elegantthemes.com/sagittis/sapien/cum/sociis.js
Dunkin Donuts,"17609 Detroit Ave, Unit 1",Lakewood,OH,2.5,(651) 5406933,3.23,1,0,1,1,0,Peppermint Mocha,http://dummyimage.com/180x196.bmp/ff4444/ffffff,https://sun.com/platea/dictumst/aliquam/augue.jpg
Starbucks,"100 Hazel Ln, Ste 160",Sewickley,PA,4,(286) 2860774,2.79,1,1,1,0,0,Chai Tea Latte,http://dummyimage.com/201x122.jpg/5fa2dd/ffffff,http://ibm.com/eleifend.js
Flair,Neuer Markt 1,Leinfelden Echterdingen,BW,4,(189) 4726445,4.65,1,1,0,1,1,Nitro Cold Brew,http://dummyimage.com/214x163.bmp/ff4444/ffffff,http://twitter.com/id/turpis.html
DAVIDsTEA,1 Promenade Circle,Thornhill,ON,4,(222) 3004972,3.12,0,1,0,1,0,Nitro Cold Brew,http://dummyimage.com/195x111.bmp/ff4444/ffffff,https://networksolutions.com/vivamus/tortor.json
Starbucks,4805 Sharon Rd,Charlotte,NC,3.5,(870) 3483358,1.35,1,0,1,1,1,Vanilla Cappuccino,http://dummyimage.com/200x232.png/ff4444/ffffff,http://google.com/morbi/a/ipsum/integer/a/nibh/in.jpg
Caf e Al eatoire,1964 rue Notre-Dame ouest,Montreal,QC,5,(772) 2353977,1.18,1,1,0,1,1,Vanilla Cappuccino,http://dummyimage.com/126x168.jpg/cc0000/ffffff,https://plala.or.jp/a/suscipit/nulla/elit/ac/nulla.jpg
Sunrise Donuts,"725 S Estrella Pkwy, Ste 125",Goodyear,AZ,4.5,(433) 2226367,4.07,0,1,0,1,0,Nitro Cold Brew,http://dummyimage.com/194x188.bmp/5fa2dd/ffffff,http://webnode.com/non/mauris/morbi/non.jsp
Dunkin Donuts,3137 E Cactus Rd,Phoenix,AZ,2.5,(107) 2277317,2.39,0,0,0,1,0,Vanilla Cappuccino,http://dummyimage.com/198x191.bmp/ff4444/ffffff,https://chicagotribune.com/sit/amet/diam/in.png
Coffee Time,1471 Eglinton Ave W,Toronto,ON,2,(397) 9102861,3.67,1,0,1,0,0,Vanilla Cappuccino,http://dummyimage.com/222x199.jpg/5fa2dd/ffffff,http://free.fr/mus/etiam/vel/augue/vestibulum/rutrum.js
Dunkin Donuts,"739 S Gammon Rd, Ste 100",Madison,WI,2.5,(119) 9681568,3.22,1,0,1,0,0,Chai Tea Latte,http://dummyimage.com/227x142.jpg/dddddd/000000,https://dion.ne.jp/ut/rhoncus.png
